"Име на фирма","Седалище","Дейности","Адрес на аптека - град","Адрес на аптека","Дата","№/№ промяна","Адрес на управление","Ръководител","пом.-фарм.","latitude","longitude"
"","","","гр. Бургас","к-с Лазур, ул. Поморие 20","2004-03-25T00:00:00","6569-НА","","Грозданка Метаксанова Дончева","","42.5031286","27.4791158"
"","","","гр. София","ж.к. Илиянци, ул. Махония, кв. 6, п-л II","2004-03-25T00:00:00","6581-НА","","Йорданка Йорданова Неделчева","","42.7510749","23.3166998"
"","","","гр. Пловдив","бул. България 234","2004-03-26T00:00:00","6587-НА","","Многопрофилна болница за активно   лечение - Пловдив АД  ръководител Борислав Кирилов Петров","","42.158936","24.7180307"
"","","Със заповед № 6590-НА/РД 05-436 от 25.09.2007 г. се променя адреса на аптеката от ул. Стефан Стамболов 34 на ул. Стефан Стамболов 39","гр. Дряново","ул. Стефан Стамболов 39","2004-03-26T00:00:00","6590-НА","","Нина Василева Габровска","","42.9774839","25.4781665"
"","","","с. Крън","общ. Казанлък, ул. Цвятко Радойнов 71","2004-04-20T00:00:00","6618-НА","","Недялка Запрянова Запрянова","","42.6657758","25.373802"
"","","","с. Цалапица","общ. Родопи, ул. А. Богороди 14","2004-04-20T00:00:00","6620-НА","","Фанка Райчева Димитрова","пом.-фарм","42.1800675","24.5682775"
"","","","с. Царимир","общ. Съединение, площад - център","2004-04-20T00:00:00","6622-НА","","Елена Димитрова Колева","","42.3243815","24.6760103"
"ЕТ РАЙНА ВИТАНОВА","гр. Велики Преслав","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Велики Преслав","пл. Стамболийски 6 А","2004-04-20T00:00:00","6625-НА","ул. Борис Спиров 88","Райна Стойчева Витанова","","43.15877","26.8155377"
"","","","гр. Пловдив","бул. Александър Стамболийски 2 А","2004-04-26T00:00:00","6640-НА","","Областен диспансер за онкологични   заболявания със стационар-Пловдив ЕООД  ръководител Весела Петрова Кавлакова","","42.1192309","24.7409807"
"","","","гр. Стрелча","ул. България 75","2004-03-05T00:00:00","6647-НА","","Иван Найденов Илчев","пом.-фарм","42.5060515","24.3209906"
"","","","гр. София","ул. Кишинев 13","2004-03-05T00:00:00","6649-НА","","Айман Насър Шакер","","42.6604326","23.3142961"
"","","","гр. София","ж.к. Красно село, ул. Ладога, бл. 208, вх. Г","2004-05-05T00:00:00","6664-НА","","Лиляна Владимирова Попова","","42.6688959","23.2798415"
"","","","гр. Пловдив","ул. Батак 7","2004-05-05T00:00:00","6671-НА","","Стефка Герчева Вачкова","","42.1515778","24.7818543"
"","","","гр. Асеновград","бул. България 2","2004-05-05T00:00:00","6674-НА","","Мара Николова Щерева","","42.0093885","24.8707427"
"","","","с. Кадиево","общ. Родопи, УПИ ХIII - магазин кв. 13","2004-05-20T00:00:00","6684-НА","","Гергана Димитрова Нейкова","","42.1318179","24.6021398"
"","","","гр. София","ул. Боряна 43 А","2004-05-20T00:00:00","6685-НА","","Катя Сребрева Иванова","","42.6738691","23.2572808"
"","","","гр. Стара Загора","бул. Патриарх Евтимий 151","2004-05-20T00:00:00","6695-НА","","Таня Колева Георгиева","пом.-фарм","42.4329561","25.6320893"
"","","","с. Бараково","общ. Кочериново, ул. Жельо Демиревски 8","2004-06-16T00:00:00","6711-НА","","Теменужка Николова Калайджийска","","42.0629032","23.0600459"
"","","","гр. София","ул. Луи Айер 59","2004-06-16T00:00:00","6715-НА","","Йорданка Александрова Чалъкова","","42.6596983","23.3004038"
"","","","гр. Пловдив","ул. Васил Априлов 37","2004-06-16T00:00:00","6716-НА","","Атанаска Атанасова Цветкова","","42.1416464","24.7332987"
"ЕТ ""ЕЛ-ВИП-ЕЛЗА ВЪЛЧЕВА""","гр. Неделино 4990","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Неделино","ул. Александър Стамболийски № 75 Б","2011-10-20T00:00:00","6719-НА-1","ул. Александър Стамболийски № 66, вх. А","Елза Асенова Вълчева","","41.4563919","25.0787983"
"","","","гр. София","ул. Попова шапка 9","2004-06-16T00:00:00","6721-НА","","Веселин Иванов Марков","","42.6897481","23.3576634"
"","","","гр. Карлово","ул. Иванка Пашкулова 2","2004-06-16T00:00:00","6726-НА","","Магдалена Иванова Медникарова -   Боримечкова","","42.641321","24.8059394"
"ФАРМАКОМ ЕС ЕООД","гр. Нови Искър1280","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Нови Искър","ул. Искърско дефиле 253, бл. 1, вх. А","2013-05-29T00:00:00","6734-НА-1","ул. Искърско дефиле № 253, вх. А, ет. 1,ап. 3","Десислава Тодорова Паунова - Такева","","42.8201781","23.353518"
"""МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ- МЕЗДРА"" ЕООД","гр. Мездра 3100","аптека на лечебно заведение за болнична помощ с приготвяне на лекарствени продукти по магистрална и фармакопейна рецептура","гр. Мездра","ул. ""Янко Сакъзов"" № 33","2013-07-19T00:00:00","6743-НА-2","ул. ""Янко Сакъзов"" № 33","Лилия Петкова Василева","","43.14470120000001","23.7085902"
"","","","гр. Любимец","ул. Републиканска 17","2004-06-24T00:00:00","6759-НА","","Петя Генкова Данаилова","","41.8473747","26.0855362"
"","","","гр. София","ж.к. Света Троица, бл. 297","2004-07-07T00:00:00","6766-НА","","Людмила Радева Банчева","","42.7098398","23.2921685"
"","","","гр. Варна","к-с Чайка, бл. 181 - Б, 19 м.р.","2004-09-07T00:00:00","6776-НА","","Ценка Георгиева Йорданова","","43.2152755","27.9405737"
"","","","гр. Добрич","ул. Панайот Хитов 24","2004-09-07T00:00:00","6777-НА","","Многопрофилна болница за активно лечение -  Добрич АД  ръководител Желязко Генов Генов","","43.5624853","27.8168719"
"","","","гр. Гулянци","ул. Васил Левски 34","2004-11-26T00:00:00","7005-НА","","Многопрофилна болница за активно лечение -  Гулянци ЕООД  ръководител Верка Стефанова Ценова","","43.643574","24.6955006"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - БЯЛА СЛАТИНА ЕООД","гр. Бяла Слатина 3200","аптека на лечебно заведение за болнична помощ с приготвяне на лекарствени продукти по магистрална и фармакопейна рецептура","гр. Бяла Слатина","ул. Захари Стоянов № 1","2013-01-21T00:00:00","6783-НА-2","ул. Захари Стоянов № 1","Веселка Йосифова Петрова","","43.4777651","23.9323984"
